Model,RMSE_h1,RMSE_h5,RMSE_h20
"GARCH(1,1)",6.255,6.586,12.185
"EGARCH(1,1)",7.364,7.875,12.36
"GJR-GARCH(1,1)",6.949,6.946,12.036
HAR-RV,17.964,19.323,25.976
